UTLA code,Local Authority,EMPLOY,UNEMPLOY,ECO_INACT,SMOK,ALCOHOL,PHY_ACT,DAY5,OBESE
E06000001,Hartlepool,64.2,9.9,28.6,22.8,83.76,50.4,49.1,30.6
E06000002,Middlesbrough,63.4,12,27.8,20.8,93,51.3,42.1,26.3
E06000003,Redcar and Cleveland,67.8,8,26,17.2,69.46,50.5,51.1,30.3
E06000004,Stockton-on-Tees,73.6,6.7,21.1,18.4,80.82,47.8,54.4,28.8
E06000005,Darlington,72.5,6.4,22.4,17.9,70.85,56.5,51.3,25.6
E06000006,Halton,75.4,4.9,20.6,20.1,80.51,48.5,44.7,32.4
E06000007,Warrington,77.9,4.2,18.5,14.7,68.41,57.5,50.5,29.4
E06000008,Blackburn with Darwen,64.8,7.4,29.9,21.3,79.74,48.7,45,27.7
E06000009,Blackpool,72.1,6.8,22.6,25.3,122.32,47.9,44.9,30.2
E06000010,"Kingston upon Hull, City of",66.9,8.4,26.9,26.8,81.87,54.9,48.8,30.6
E06000011,East Riding of Yorkshire,76.3,4.4,20.1,15.7,57.09,60.4,51.9,26.7
E06000012,North East Lincolnshire,71,8.3,22.8,22.8,65.72,54,49.5,29.7
E06000013,North Lincolnshire,71.7,4,25.2,21,66.99,56.8,45.4,27.7
E06000014,York,76.4,4.3,20.2,14.6,63.38,69.8,57.8,18.6
E06000015,Derby,73.2,7.6,20.6,18.7,77.42,58.3,52.4,27.2
E06000016,Leicester,62.6,9.1,30.9,20.1,70.49,50,44.3,23.9
E06000017,Rutland,76.7,4.3,20,11.6,60.86,65.3,62.8,20.4
E06000018,Nottingham,64.3,9.1,29.2,24,92.75,55,44.4,24.1
E06000019,"Herefordshire, County of",77.9,3.9,18.9,17.5,52.83,63.3,55.6,25
E06000020,Telford and Wrekin,73.3,5.7,22.4,18.2,66.78,53.8,48.6,31.1
E06000021,Stoke-on-Trent,68.2,7.6,26.1,18.8,99.13,48.2,47.5,29.9
E06000022,Bath and North East Somerset,76.5,4,20.2,13.7,53.87,69.5,59.1,19.2
E06000023,"Bristol, City of",76.3,5.1,19.6,18.1,77.59,62.2,53.3,19.4
E06000024,North Somerset,78.7,3.6,18.4,11.6,65.82,60.9,53.5,22.5
E06000025,South Gloucestershire,79.8,3,17.6,12.2,61.94,60.1,59,23.1
E06000026,Plymouth,73.7,6.2,21.3,20.6,67.1,56.2,51.4,24.8
E06000027,Torbay,75.1,5.1,20.6,17,76.96,53.6,49.5,24.1
E06000028,Bournemouth,71.5,3.1,26.1,18.8,74.57,52.9,60.5,21.8
E06000029,Poole,77.1,3.5,20.1,16.3,58.91,58.4,57.6,22.1
E06000030,Swindon,77.4,4.3,19.2,18.7,67.43,56.4,51,27.1
E06000031,Peterborough,74.5,5.4,21.1,17.7,67.89,54.7,48,27.8
E06000032,Luton,67.8,6,27.8,15.8,67.95,53.2,46.5,25
E06000033,Southend-on-Sea,75.6,5.7,19.6,18.8,60.01,56.3,49.6,26.4
E06000034,Thurrock,72.8,6.9,21.7,21.3,57.19,52.8,40.1,29.8
E06000035,Medway,69.8,9.1,23.1,22.3,43.44,53.3,47.4,29.4
E06000036,Bracknell Forest,83.3,2.4,14.7,16.7,45.93,63.8,55.8,22.5
E06000037,West Berkshire,83.1,3.3,13.9,14.1,42.38,62.6,57.7,24.9
E06000038,Reading,73.2,5.2,22.8,17.6,54.11,59.3,49.4,20.7
E06000039,Slough,74.8,4.4,21.7,18.3,62.54,49.8,45.3,24.1
E06000040,Windsor and Maidenhead,79.8,3.9,16.8,13,48.48,61.3,54,22
E06000041,Wokingham,78.7,2.7,19,9.5,37.94,63.9,60.1,19.9
E06000042,Milton Keynes,77.1,4.9,18.8,16.4,57.09,56.3,51.8,27.8
E06000043,Brighton and Hove,71.6,6.3,23.5,20.9,61.32,68.4,60.8,17.8
